Armazéns Credenciados e Habilitados
CDA;Armazenador;Endereço;Municí­pio;UF;Tipo;Telefone;Email;Capacidade (t);Latitude;Longitude
66.0287.0064-6;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;(42) 3228-1133;pr.ua-pontagrossa@conab.gov.br;75000;-25.22091;-50.0639
66.0287.0067-0;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Graneleiro;(42) 3228-1133;pr.ua-pontagrossa@conab.gov.br;75000;-25.22128;-50.062
66.0287.0068-9;COMPANHIA NACIONAL DE ABASTECIMENTO;ROD BR 376 KM 510 S/N Colônia Dona Luiza - 84.043-450;Ponta Grossa;PR;Bateria de Silos;(42) 3228-1133;pr.ua-pontagrossa@conab.gov.br;20000;-25.21919;-50.06272
66.0287.0077-8;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA TAPAJOS N. 761 761 JARDIM MONTE CARLO - 86.604-068;Rolândia;PR;Convencional;(43)3255-5339;;55300;-23.32535;-51.3888
68.0287.0001-4;COMPANHIA NACIONAL DE ABASTECIMENTO;AV SENADOR JOAO CAMARA S/N S/N CENTRO - 59.650-000;Açu;RN;Convencional;(84)3321-2405;;3200;-5.575583;-36.912698
68.0287.0057-0;COMPANHIA NACIONAL DE ABASTECIMENTO;R DR. RUY  MARIZ 455 S/N BOA PASSAGEM - 59.300-970;Caicó;RN;Convencional;(84)3417-1861;;3000;-6.447385;-37.093154
68.0287.0009-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. GETULIO VARGAS, N. 3.379 S/N CENTRO - 00.000-000;Currais Novos;RN;Convencional;(84)3431-1444;;3500;-6.283266;-36.520484
68.0287.0016-2;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA JOSE LIEITE, N. 10-BAIRRO S. ANTONIO S/N Santo Antonio - 59.611-190;Mossoró;RN;Convencional;(84)3321-3645;;3200;-5.17652;-37.342349
68.0287.0053-7;COMPANHIA NACIONAL DE ABASTECIMENTO;AV. DOS CAIAPOS, N. 8200 - S/N BAIRRO CIDADE SATELITE - 59.067-400;Natal;RN;Convencional;(84)3218-4020;;8800;-5.858972;-35.248091
68.0287.0054-5;COMPANHIA NACIONAL DE ABASTECIMENTO;AV JERONIMO CAMARA S/N (UC) S/N DIX SEPT ROSADO - 59.060-000;Natal;RN;Convencional;(84)3218-4020;;5000;-5.824165;-35.220911
68.0287.0086-3;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA SERRA DOS MARTINS 211 CENTRO - 59.865-000;Umarizal;RN;Convencional;(84)3397-2814;;3500;-5.981463;-37.822336
69.0287.0131-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV CASTELO BRANCO 16636 incra - 76.965-870;Cacoal;RO;Convencional;(69)2182-1652  2182-1653;ro.ua-cacoal@conab.gov.br;3500;-11.446188;-61.434125
69.0287.0132-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AV CASTELO BRANCO 16636 incra - 76.965-870;Cacoal;RO;Convencional;(69)2182-1652  2182-1653;ro.ua-cacoal@conab.gov.br;2200;-11.446188;-61.434125
69.0287.0033-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DO CAIS 172 PANAIR - 76.801-361;Porto Velho;RO;Convencional;(69) 21821 649 ;ro.ua-portovelho@conab.gov.br;7110;-8.4448;-63.54481
75.0287.0003-3;COMPANHIA NACIONAL DE ABASTECIMENTO;AV VENEZUELA 1120 MECEJANA - 69.309-690;Boa Vista;RR;Convencional;;;3500;2.816595;-60.692835
75.0287.0013-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV VENEZUELA 1120 MECEJANA - 69.309-690;Boa Vista;RR;Convencional;;;1600;2.816595;-60.692835
75.0287.0014-9;COMPANHIA NACIONAL DE ABASTECIMENTO;AV VENEZUELA 1120 MECEJANA - 69.309-690;Boa Vista;RR;Convencional;;;2000;2.816595;-60.692835
75.0287.0018-1;COMPANHIA NACIONAL DE ABASTECIMENTO;AV VENEZUELA 1120 MECEJANA - 69.309-690;Boa Vista;RR;Convencional;;;1600;2.816595;-60.692835
76.0287.0237-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA SANTO ANTONIO 465 MATO GRANDE - 92.325-310;Canoas;RS;Convencional;(51) 3314-4190;RS.UF-CANOAS@CONAB.GOV.BR;16630;-29.925968;-51.193639
76.A375.0002-5;ARMAZEM DE CEREAIS FAD LTDA. ;EST RSC 101 KM 130 S/N ZONA RURAL - 95.552-000;Capivari do Sul;RS;Bateria de Silos;(51) 98164-7180;financeiro@fadsementes.com.br;25150;-30.16138;-50.51414
76.5666.0002-1;ENGENHO SÃO BENTO LTDA;ROD BR 116  KM 520 - 6090 BARBUDA - 96.070-560;Pelotas;RS;Graneleiro;(53)3025-3500;esbento@esbento.com.br;18680;-31.70256;-52.36077
76.5666.0003-0;ENGENHO SÃO BENTO LTDA;ROD BR 116  KM 520 - 6090 BARBUDA - 96.070-560;Pelotas;RS;Graneleiro;(53)3025-3500;esbento@esbento.com.br;18151;-31.70357;-52.36036
76.5666.0004-8;ENGENHO SÃO BENTO LTDA;ROD BR 116  KM 520 - 6090 BARBUDA - 96.070-560;Pelotas;RS;Graneleiro;(53)3025-3500;esbento@esbento.com.br;32774;-31.70279;-52.36056
76.5666.0005-6;ENGENHO SÃO BENTO LTDA;ROD BR 116  KM 520 - 6090 BARBUDA - 96.070-560;Pelotas;RS;Convencional;(53)3025-3500;esbento@esbento.com.br;1200;-31.70271;-52.36161
76.5666.0006-4;ENGENHO SÃO BENTO LTDA;ROD BR 116  KM 520 - 6090 BARBUDA - 96.070-560;Pelotas;RS;Bateria de Silos;(53)3025-3500;esbento@esbento.com.br;36000;-31.703204;-52.359126
76.A701.0001-4;AGROPECUARIA SAO CARLOS LTDA.;ESTRADA 51 S/N QUINTO DISTRITO - 97.590-000;Rosário do Sul;RS;Bateria de Silos;(55) 99979 5599;contato@agropecuariasaocarlos.com.br;4810;-30.29471;-54.8995
76.9862.0003-4;VASCONCELOS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA.;RODOVIA BR 285 KM 660 S/N ESQUINA SANTOS REIS - 97.670-000;São Borja;RS;Bateria de Silos;(55)3431-2840;SAOBORJA@VASCONCELOS.IND.BR;36660;-28.63844;-55.84769
76.9862.0004-2;VASCONCELOS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA.;RODOVIA BR 285 KM 660 S/N ESQUINA SANTOS REIS - 97.670-000;São Borja;RS;Bateria de Silos;(55)3431-2840;SAOBORJA@VASCONCELOS.IND.BR;14810;-28.63843;-55.84692
76.0397.0002-0;COOPERATIVA AGRICOLA URUGUAIANA LIMITADA;ROD BR 472 KM 570 S/N AREA RURAL DE URUGUAIANA - 97.511-860;Uruguaiana;RS;Bateria de Silos;(55)3413-3939;CAUL@CAUL.COM.BR;33830;-29.5897219;-56.8608575
76.0397.0004-6;COOPERATIVA AGRICOLA URUGUAIANA LIMITADA;ROD BR 472 KM 570 S/N AREA RURAL DE URUGUAIANA - 97.511-860;Uruguaiana;RS;Bateria de Silos;(55)3413-3939;CAUL@CAUL.COM.BR;8800;-29.5897219;-56.8608575
76.0397.0006-2;COOPERATIVA AGRICOLA URUGUAIANA LIMITADA;ROD BR 472 KM 570 S/N AREA RURAL DE URUGUAIANA - 97.511-860;Uruguaiana;RS;Bateria de Silos;(55)3413-3939;CAUL@CAUL.COM.BR;23070;-29.76502;-57.00533
76.0397.0008-9;COOPERATIVA AGRICOLA URUGUAIANA LIMITADA;ROD BR 472 KM 570 S/N AREA RURAL DE URUGUAIANA - 97.511-860;Uruguaiana;RS;Bateria de Silos;(55)3413-3939;CAUL@CAUL.COM.BR;4210;-29.96608;-57.04448
77.0287.0008-0;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DORIVAL DE BRITO E SILVA 62 Centro - 89.610-000;Herval d'Oeste;SC;Bateria de Silos;(49)3554-1491;;4870;-27.173533;-51.499002
77.0287.0009-9;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DORIVAL DE BRITO E SILVA 62 Centro - 89.610-000;Herval d'Oeste;SC;Convencional;(49)3554-1491;;1400;-27.173533;-51.499002
77.0287.0010-2;COMPANHIA NACIONAL DE ABASTECIMENTO;RUA DORIVAL DE BRITO E SILVA 62 Centro - 89.610-000;Herval d'Oeste;SC;Convencional;(49)3554-1491;;900;-27.173533;-51.499002
78.0287.0002-0;COMPANHIA NACIONAL DE ABASTECIMENTO;AV WALTER FRANCO, B. CENTRO -  ITABAIANA-SE, CEP 49.500-000 382 NÃO INFORMADO - 49.500-000;Itabaiana;SE;Convencional;(79)3431-3190;;3200;-10.685195;-37.434928
79.0287.0020-6;COMPANHIA NACIONAL DE ABASTECIMENTO;Rua Manoel Augusto Plantiel S/N Centro - 18.960-000;Bernardino de Campos;SP;Convencional;(14) 3346-2557;sp.ua-bernardino@conab.gov.br;33900;-23.008908;-49.483221
79.0287.0012-5;COMPANHIA NACIONAL DE ABASTECIMENTO;VL SALGUEIRO S/N GARCA - 17.400-000;Garça;SP;Convencional;(14)3406-4077;;16200;-22.223811;-49.647068
80.0287.0013-7;COMPANHIA NACIONAL DE ABASTECIMENTO;EST DA FAZ DOS RANCHOS 02 KM 25 S/N ZONA RURAL - 77.470-000;Formoso do Araguaia;TO;Convencional;(63)3357-3245;;4000;-11.88694;-49.61026
80.0287.0017-0;COMPANHIA NACIONAL DE ABASTECIMENTO;EST DA FAZ DOS RANCHOS 02 KM 25 S/N ZONA RURAL - 77.470-000;Formoso do Araguaia;TO;Bateria de Silos;(63)3357-3245;;28000;-11.88624;-49.610012
